"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A693465","Vangogh","1/4/2015 16:27","Adoption","","Dog","Spayed Female","1 year","German Shepherd Mix","Black/Tan"
"A702429","Rayne","6/15/2015 15:03","Adoption","Foster","Dog","Spayed Female","2 years","Queensland Heeler Mix","Blue Tick"
"A648672","Rico","8/20/2015 12:12","Return_to_owner","","Dog","Neutered Male","4 years","German Shepherd Mix","Black/Tan"
"A711379","Turbo","9/6/2015 13:57","Return_to_owner","","Dog","Neutered Male","2 years","Labrador Retriever Mix","Black/White"
"A719398","Ridley","1/21/2016 18:30","Return_to_owner","","Dog","Spayed Female","3 years","German Shepherd Mix","Brown/Black"
"A593567","Bruno","10/4/2015 11:53","Return_to_owner","","Dog","Neutered Male","5 years","Chihuahua Shorthair Mix","Sable/White"
"A669580","Biscuit","12/23/2013 14:49","Euthanasia","Suffering","Dog","Spayed Female","13 years","Labrador Retriever Mix","Tan"
"A720686","Chimi","2/14/2016 17:34","Return_to_owner","","Dog","Neutered Male","8 months","Chihuahua Shorthair Mix","Tan/White"
"A707399","Toby","7/14/2015 11:24","Return_to_owner","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Brown"
"A664697","Jezzabelle","10/24/2013 12:52","Adoption","Foster","Dog","Spayed Female","4 months","Border Terrier Mix","White/Tan"
"A696118","Misty","2/4/2015 17:07","Adoption","","Dog","Spayed Female","4 years","Miniature Poodle Mix","Cream"
"A671023","Murphy","8/3/2014 15:44","Transfer","Partner","Dog","Neutered Male","3 years","Australian Cattle Dog Mix","Blue Merle"
"A688889","","10/4/2014 11:24","Transfer","Partner","Dog","Intact Female","3 years","German Shepherd Mix","Black/Tan"
"A662100","Beaux","2/19/2015 12:59","Transfer","Partner","Dog","Neutered Male","4 years","German Shepherd","Brown/Black"
"A682504","Champ","6/30/2014 17:53","Return_to_owner","","Dog","Intact Male","2 years","Pit Bull Mix","Blue/White"
"A683353","Dino","7/12/2014 15:32","Return_to_owner","","Dog","Neutered Male","11 months","Australian Cattle Dog Mix","Brown"
"A673717","Blackie","3/12/2014 18:41","Return_to_owner","","Dog","Neutered Male","9 years","Shiba Inu Mix","Red/Cream"
"A711844","Bambam","9/13/2015 11:12","Return_to_owner","","Dog","Spayed Female","11 years","Shih Tzu Mix","Black/White"
"A696648","","2/14/2015 18:32","Adoption","","Dog","Spayed Female","2 months","Australian Cattle Dog Mix","White/Brown"
"A712936","Louise","10/9/2015 16:57","Adoption","","Dog","Spayed Female","1 year","Shiba Inu Mix","Red"
"A701093","Lucus","5/4/2015 16:12","Return_to_owner","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Tan/White"
"A704076","Destiny","6/13/2015 14:22","Adoption","","Dog","Spayed Female","9 years","Labrador Retriever Mix","Brown"
"A685601","Hank","8/13/2014 17:13","Adoption","","Dog","Neutered Male","3 months","Cairn Terrier Mix","Tan/Black"
"A720607","Zeus","2/13/2016 16:14","Return_to_owner","","Dog","Intact Male","1 year","German Shepherd Mix","Brown/Black"
"A688659","","9/27/2014 16:48","Transfer","Partner","Dog","Spayed Female","5 months","Border Collie","Black"
"A707579","Money","7/23/2015 17:43","Return_to_owner","","Dog","Spayed Female","1 year","Pit Bull Mix","Brown/White"
"A669643","Dale","1/5/2014 13:10","Return_to_owner","","Dog","Intact Male","5 months","Australian Cattle Dog Mix","Brown Brindle/White"
"A680035","Carmen","6/6/2014 11:51","Adoption","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","White/Brown Brindle"
"A645251","Woodrow","12/14/2014 12:47","Adoption","","Dog","Neutered Male","1 year","Miniature Schnauzer Mix","White/Tan"
"A670148","Rosie","1/28/2014 18:20","Adoption","Foster","Dog","Spayed Female","1 month","Labrador Retriever Mix","Black/White"
"A692110","Bear","12/1/2014 16:42","Adoption","","Dog","Neutered Male","2 years","English Shepherd Mix","Tricolor"
"A644507","Stella","4/18/2014 14:05","Transfer","Partner","Dog","Spayed Female","5 years","West Highland Mix","White"
"A698946","Carla","3/27/2015 11:58","Transfer","Partner","Dog","Intact Female","3 years","Pit Bull Mix","White"
"A681431","Deltadawn","6/22/2014 16:46","Euthanasia","Behavior","Dog","Intact Female","5 years","Labrador Retriever Mix","Brown"
"A712007","Samantha","9/15/2015 16:36","Return_to_owner","","Dog","Intact Female","6 months","German Shepherd Mix","Sable"
"A704428","","6/4/2015 18:52","Transfer","Partner","Dog","Unknown","6 days","Chihuahua Shorthair Mix","Brown Brindle"
"A671413","Magnus","2/2/2014 11:15","Return_to_owner","","Dog","Neutered Male","2 years","Boxer Mix","Red/White"
"A677717","Butters","5/3/2014 13:55","Transfer","Partner","Dog","Spayed Female","10 years","Cocker Spaniel Mix","Buff"
"A696142","Louden","2/3/2015 11:15","Return_to_owner","","Dog","Spayed Female","5 years","Labrador Retriever Mix","Red"
"A674508","Spencer","9/30/2014 8:03","Adoption","Foster","Dog","Neutered Male","8 years","Labrador Retriever Mix","Yellow"
"A684041","Bree","9/3/2014 12:25","Euthanasia","Aggressive","Dog","Spayed Female","4 years","Labrador Retriever Mix","Black"
"A710487","Bobbie","10/2/2015 17:13","Transfer","Partner","Dog","Spayed Female","3 months","Catahoula Mix","Sable"
"A669002","Candy 2","12/13/2013 11:54","Transfer","Partner","Dog","Intact Female","9 months","Shih Tzu Mix","White/Black"
"A685101","Blanca","3/14/2015 11:25","Return_to_owner","","Dog","Spayed Female","1 year","Pit Bull Mix","White/Black"
"A718737","Roma","1/12/2016 18:13","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","Tan/White"
"A695180","Duke","1/12/2015 17:51","Return_to_owner","","Dog","Neutered Male","2 years","Boxer Mix","Red/White"
"A712450","","9/24/2015 0:00","Adoption","","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Tan/White"
"A524680","Hilary","11/30/2013 14:48","Return_to_owner","","Dog","Spayed Female","7 years","Australian Shepherd Mix","White/Tan"
"A663930","Oliver","10/13/2013 14:05","Adoption","","Dog","Neutered Male","3 years","Cairn Terrier Mix","Tan/Black"
"A695674","Chico","1/23/2015 12:31","Transfer","Partner","Dog","Neutered Male","4 years","Rottweiler Mix","Black/Tan"
"A695691","Princess","1/24/2015 13:04","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","White/Brown"
"A681570","Big Joe","7/11/2014 17:51","Adoption","Foster","Dog","Neutered Male","1 month","Labrador Retriever Mix","Black/White"
"A701722","Jack","5/20/2015 17:21","Adoption","","Dog","Neutered Male","8 months","Miniature Schnauzer Mix","Buff"
"A691834","Fifi","1/20/2015 18:53","Return_to_owner","","Dog","Spayed Female","1 year","Miniature Schnauzer Mix","Brown/Black"
"A678697","","5/17/2014 18:54","Transfer","Partner","Dog","Spayed Female","3 years","Yorkshire Terrier Mix","Tan/Silver"
"A689737","","10/11/2014 13:09","Transfer","Partner","Dog","Intact Male","9 months","Pit Bull Mix","Blue/White"
"A646964","Lovely","12/24/2013 11:35","Adoption","","Dog","Spayed Female","1 year","Pit Bull Mix","Black/White"
"A700691","Caddie","5/10/2015 12:29","Adoption","","Dog","Spayed Female","8 months","Border Collie Mix","Black/White"
"A672397","Zilkie","2/15/2014 13:34","Adoption","","Dog","Neutered Male","2 years","Shiba Inu Mix","Red"
"A718227","Tulsi","12/27/2015 11:13","Return_to_owner","","Dog","Intact Female","11 months","Toy Poodle Mix","Brown"
"A504280","Duke","1/3/2014 19:08","Return_to_owner","","Dog","Neutered Male","6 years","Flat Coat Retriever Mix","Black/White"
"A680476","Frisco","6/6/2014 14:30","Transfer","Partner","Dog","Neutered Male","1 year","Boxer Mix","Red/White"
"A670199","Chuy","1/7/2014 18:02","Adoption","","Dog","Neutered Male","2 years","English Bulldog Mix","White/Brown Brindle"
"A694991","Tuxedo","1/15/2015 13:56","Return_to_owner","","Dog","Neutered Male","2 years","Labrador Retriever Mix","Black"
"A681150","Jasmine","6/20/2014 14:21","Transfer","Partner","Dog","Intact Female","3 years","Rottweiler Mix","Black/Brown"
"A679770","Carl","9/11/2014 17:50","Adoption","","Dog","Neutered Male","1 year","Pit Bull Mix","Tan/White"
"A711063","Foxy","9/6/2015 16:24","Transfer","Partner","Dog","Spayed Female","5 years","Chihuahua Shorthair Mix","Tan/White"
"A702707","Kane","5/17/2015 11:32","Return_to_owner","","Dog","Neutered Male","3 months","Siberian Husky Mix","Cream/White"
"A667812","Kanga","12/28/2013 16:52","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Brown/White"
"A717154","Boom","12/3/2015 14:05","Transfer","Partner","Dog","Intact Male","1 month","Pekingese Mix","Tricolor"
"A649776","Dexter","3/8/2014 11:17","Transfer","Partner","Dog","Neutered Male","1 year","Dachshund Longhair Mix","Blue Merle"
"A662104","Gracie","4/24/2014 18:59","Adoption","","Dog","Spayed Female","3 years","Labrador Retriever Mix","Black/White"
"A703374","Lilly","5/27/2015 18:31","Adoption","","Dog","Spayed Female","2 years","Schnauzer Giant Mix","Black"
"A718589","","1/6/2016 12:02","Adoption","","Dog","Spayed Female","4 years","Chihuahua Shorthair Mix","White/Brown"
"A703792","Onyx","5/29/2015 12:43","Return_to_owner","","Dog","Spayed Female","14 years","Standard Poodle Mix","Black/Brown"
"A700796","Rigger","4/28/2015 0:00","Transfer","Partner","Dog","Neutered Male","4 months","Black Mouth Cur Mix","Tan/White"
"A690754","","10/30/2014 11:18","Adoption","","Dog","Spayed Female","3 months","Queensland Heeler Mix","Brown Merle"
"A684113","Sam","7/24/2014 13:53","Adoption","","Dog","Spayed Female","1 year","German Shepherd Mix","White"
"A668528","Dottie","3/30/2014 19:05","Adoption","Foster","Dog","Spayed Female","5 months","Chihuahua Shorthair","Brown/White"
"A704160","Juno","6/3/2015 16:09","Return_to_owner","","Dog","Spayed Female","7 years","Australian Cattle Dog Mix","Sable/White"
"A670729","","1/16/2014 17:50","Transfer","Partner","Dog","Intact Female","4 weeks","German Shepherd Mix","Tricolor"
"A669978","Rex","2/23/2014 12:52","Return_to_owner","","Dog","Neutered Male","1 year","Whippet Mix","Red"
"A705148","Annie","7/18/2015 17:26","Adoption","","Dog","Spayed Female","1 year","Chihuahua Longhair Mix","White/Tan"
"A679773","Minnie Mouse","5/29/2014 18:59","Return_to_owner","","Dog","Spayed Female","8 years","Yorkshire Terrier Mix","Gray/Tan"
"A666660","Dolly","12/11/2014 17:52","Adoption","","Dog","Spayed Female","2 years","Beagle Mix","Tan/White"
"A684401","Lonestar","7/25/2014 15:45","Return_to_owner","","Dog","Intact Male","2 months","Australian Cattle Dog Mix","Blue Merle/Brown"
"A669710","Capone","1/3/2014 18:21","Adoption","","Dog","Neutered Male","8 months","Pit Bull Mix","Blue/White"
"A713533","Nell","10/13/2015 17:28","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Brown/Black"
"A717244","Booboo","12/8/2015 11:11","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","Brown/Black"
"A719622","Ariel","1/25/2016 18:25","Return_to_owner","","Dog","Spayed Female","2 years","German Shepherd Mix","Cream/Black"
"A665582","Honeybear","11/2/2013 14:27","Adoption","","Dog","Spayed Female","10 months","Border Collie Mix","Black/Brown"
"A664965","Linda","3/21/2014 11:59","Return_to_owner","","Dog","Spayed Female","11 months","Australian Cattle Dog Mix","White/Tan"
"A670723","Pequena","1/13/2014 16:01","Return_to_owner","","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Tan"
"A714043","Bella B.","10/18/2015 17:58","Adoption","","Dog","Spayed Female","2 months","Dachshund Mix","Tan/White"
"A715589","","11/11/2015 11:40","Transfer","Partner","Dog","Neutered Male","10 years","Chihuahua Shorthair Mix","Tan/White"
"A699526","Thor","4/2/2015 17:46","Adoption","","Dog","Neutered Male","2 months","Black Mouth Cur Mix","Brown/Black"
"A662308","Benny","10/10/2013 14:43","Transfer","Partner","Dog","Intact Male","2 years","Chihuahua Shorthair Mix","White"
"A535124","Bruno","6/3/2014 13:56","Adoption","","Dog","Neutered Male","5 years","Dutch Shepherd Mix","Brown Brindle"
"A680668","Monkey","6/6/2014 14:04","Return_to_owner","","Dog","Neutered Male","2 years","Collie Smooth Mix","Black/White"
"A660607","Petey","10/23/2013 10:28","Adoption","Foster","Dog","Neutered Male","4 years","Australian Cattle Dog Mix","White/Black"
"A666267","Beau","11/4/2013 16:27","Transfer","Partner","Dog","Neutered Male","3 years","Miniature Poodle Mix","Black/White"
"A676407","Hanna","4/9/2014 15:27","Return_to_owner","","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","White/Black"
"A685958","Cody","8/31/2014 13:14","Transfer","Partner","Dog","Neutered Male","5 months","Beagle Mix","White/Tan"
"A711917","Mooney","9/27/2015 12:09","Adoption","","Dog","Neutered Male","2 years","Miniature Poodle Mix","White"
"A716411","Cookie","12/12/2015 16:23","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Black/White"
"A712800","Blake","9/30/2015 15:09","Return_to_owner","","Dog","Intact Male","2 months","Labrador Retriever Mix","Buff"
"A717700","Heidi","12/12/2015 17:53","Return_to_owner","","Dog","Spayed Female","1 year","Australian Cattle Dog Mix","White/Red"
"A660413","Buster","1/22/2014 15:24","Adoption","Foster","Dog","Neutered Male","4 years","Chihuahua Shorthair Mix","Brown/White"
"A694466","Neko","12/30/2014 18:51","Return_to_owner","","Dog","Neutered Male","1 year","Pekingese Mix","Red/Black"
"A544109","Tippy","4/25/2015 14:38","Return_to_owner","","Dog","Spayed Female","7 years","Pit Bull","Brown Brindle/White"
"A664163","Corral","10/6/2013 15:06","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","White/Black"
"A711082","Precious","9/21/2015 12:39","Transfer","Partner","Dog","Intact Female","3 years","Labrador Retriever Mix","Yellow/White"
"A694163","Guido","12/27/2014 12:30","Adoption","","Dog","Neutered Male","1 year","Podengo Pequeno Mix","Chocolate/White"
"A719201","Sampson","1/22/2016 14:02","Adoption","","Dog","Neutered Male","5 months","Catahoula Mix","Brown Brindle"
"A716596","Coraline","11/27/2015 17:12","Adoption","","Dog","Spayed Female","5 months","Chihuahua Shorthair Mix","Brown"
"A689190","Tug","10/21/2014 16:07","Adoption","","Dog","Neutered Male","1 year","Catahoula Mix","Brown Brindle/White"
"A713966","Rainey","10/23/2015 15:01","Adoption","","Dog","Spayed Female","5 months","American Pit Bull Terrier Mix","Black/White"
"A685363","Ella","8/11/2014 18:30","Adoption","","Dog","Spayed Female","7 months","Labrador Retriever Mix","Black/White"
"A679965","Melanie","5/28/2014 16:59","Transfer","Partner","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan/White"
"A701119","","5/9/2015 11:57","Transfer","Partner","Dog","Intact Male","2 weeks","Yorkshire Terrier Mix","Tricolor"
"A667927","Sadie","12/22/2013 17:20","Adoption","","Dog","Spayed Female","1 month","German Shepherd Mix","Tan"
"A715376","Gunny","11/8/2015 18:11","Return_to_owner","","Dog","Neutered Male","3 years","Siberian Husky Mix","Black/White"
"A712449","Buffy","9/27/2015 13:18","Adoption","Offsite","Dog","Spayed Female","2 months","Cairn Terrier","Tan"
"A696798","Turner","2/22/2015 11:41","Transfer","Partner","Dog","Neutered Male","1 year","Australian Cattle Dog","White/Red"
"A677834","Baby Girl","5/6/2014 11:15","Transfer","Partner","Dog","Intact Female","3 years","German Shepherd Mix","Brown/Black"
"A629706","Patron","9/16/2015 13:04","Euthanasia","Aggressive","Dog","Intact Male","5 years","Pit Bull Mix","Brown Brindle/White"
"A702478","","5/17/2015 18:26","Transfer","Partner","Dog","Intact Female","4 months","Pit Bull Mix","Blue/White"
"A677907","Super","5/1/2014 11:29","Return_to_owner","","Dog","Neutered Male","4 years","Jack Russell Terrier Mix","White/Brown"
"A698335","Sam","1/18/2016 19:38","Adoption","","Dog","Neutered Male","10 years","Labrador Retriever Mix","Brown"
"A711779","Jellie","9/20/2015 13:21","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","White/Black"
"A666306","Pearl","11/29/2013 16:08","Transfer","Partner","Dog","Spayed Female","8 years","Chihuahua Longhair Mix","White/Brown"
"A686528","Jax","9/7/2014 16:02","Adoption","","Dog","Neutered Male","4 years","Pit Bull Mix","Blue/White"
"A687552","","9/10/2014 17:16","Adoption","","Dog","Neutered Male","10 months","Miniature Pinscher Mix","Black/Tan"
"A690213","Blue","10/19/2014 17:42","Adoption","","Dog","Spayed Female","1 year","Pit Bull Mix","Blue/White"
"A688910","Jenna","9/26/2014 14:15","Return_to_owner","","Dog","Spayed Female","3 years","Labrador Retriever","Yellow"
"A667177","Tigre","6/3/2015 14:55","Euthanasia","Aggressive","Dog","Neutered Male","5 years","Pit Bull Mix","Brown Brindle/White"
"A606120","Archie","10/5/2013 14:34","Euthanasia","Behavior","Dog","Neutered Male","4 years","Pit Bull Mix","Blue/White"
"A681826","Adelaide","9/11/2014 13:32","Adoption","","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","Black/White"
"A455146","Ruby","2/7/2015 11:10","Transfer","Partner","Dog","Spayed Female","10 years","Rottweiler Mix","Black/Brown"
"A609206","Baby","9/19/2015 15:52","Adoption","","Dog","Spayed Female","4 years","Labrador Retriever Mix","Tan"
"A699219","Valentine","4/1/2015 16:04","Return_to_owner","","Dog","Spayed Female","3 years","Anatol Shepherd Mix","Tan/White"
"A666985","Grace","11/15/2013 14:55","Transfer","Partner","Dog","Spayed Female","6 months","Dachshund Mix","Brown/White"
"A669191","Echo","12/21/2013 15:54","Transfer","Partner","Dog","Intact Female","2 months","American Pit Bull Terrier Mix","Tan"
"A700842","Gizzy","4/21/2015 13:09","Return_to_owner","","Dog","Intact Male","12 years","Yorkshire Terrier Mix","Brown/Black"
"A529648","Bruno","9/6/2015 18:13","Return_to_owner","","Dog","Neutered Male","9 years","Miniature Pinscher","Black/Tan"
"A666925","Ella","11/13/2013 17:36","Adoption","","Dog","Spayed Female","11 months","Miniature Poodle Mix","White"
"A684122","Mitch","7/20/2014 13:38","Return_to_owner","","Dog","Neutered Male","12 years","Standard Schnauzer Mix","Gray"
"A720221","Heidi","2/5/2016 14:37","Return_to_owner","","Dog","Spayed Female","2 years","Labrador Retriever Mix","White/Red"
"A690530","Bruno","10/30/2014 16:35","Return_to_owner","","Dog","Neutered Male","2 years","Rottweiler Mix","Black/Brown"
"A718401","","1/2/2016 12:09","Transfer","Partner","Dog","Intact Male","2 months","Labrador Retriever Mix","Black/White"
"A716318","","12/30/2015 12:43","Euthanasia","Suffering","Dog","Intact Female","2 years","Pit Bull Mix","Brown/White"
"A708815","Clark","10/10/2015 13:55","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","White/Brown"
"A692430","Bailey","11/24/2014 17:27","Return_to_owner","","Dog","Intact Male","8 years","Labrador Retriever Mix","Yellow"
"A694441","Perdita","1/2/2015 16:57","Adoption","","Dog","Spayed Female","2 years","Dalmatian","White/Black"
"A671346","Kayla","1/23/2014 11:16","Return_to_owner","","Dog","Spayed Female","3 years","Jack Russell Terrier Mix","Red Merle/White"
"A669268","","1/4/2014 17:58","Adoption","Foster","Dog","Spayed Female","2 months","Labrador Retriever Mix","Black/White"
"A688032","Denali","9/28/2014 16:25","Adoption","","Dog","Neutered Male","1 year","Border Collie Mix","White/Brown"
"A695355","Hank","1/19/2015 17:06","Adoption","","Dog","Neutered Male","1 year","American Foxhound Mix","Tricolor"
"A701758","Zeus","5/31/2015 18:53","Adoption","","Dog","Neutered Male","2 years","Catahoula Mix","White/Brown"
"A690538","Chelsea","10/30/2014 11:19","Adoption","","Dog","Spayed Female","3 months","Maltese Mix","White/Tan"
"A665885","Talulah","10/25/2013 16:55","Return_to_owner","","Dog","Spayed Female","10 months","Australian Cattle Dog Mix","Tricolor"
"A539175","Jabon","10/25/2013 14:51","Return_to_owner","","Dog","Neutered Male","5 years","Chihuahua Shorthair Mix","Black"
"A609622","Cory","11/5/2015 0:00","Transfer","Partner","Dog","Spayed Female","8 years","Chihuahua Shorthair Mix","Gold"
"A715804","Frump","11/16/2015 13:34","Transfer","Partner","Dog","Neutered Male","2 years","Chihuahua Longhair Mix","Brown/White"
"A710921","Daisy","8/30/2015 15:01","Return_to_owner","","Dog","Spayed Female","12 years","Miniature Schnauzer Mix","Gray"
"A702029","Gogo","5/9/2015 17:00","Return_to_owner","","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Black/Tan"
"A668781","Coco","12/17/2013 16:40","Return_to_owner","","Dog","Spayed Female","4 years","American Pit Bull Terrier Mix","Brown/White"
"A690119","Maddie","10/17/2014 18:29","Return_to_owner","","Dog","Spayed Female","9 months","Miniature Schnauzer Mix","Gray/White"
"A689178","","10/4/2014 17:31","Adoption","","Dog","Neutered Male","8 months","Dachshund Mix","Tan/White"
"A694365","Luna","1/1/2015 13:54","Adoption","","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","Blue Merle"
"A664890","Billy","10/15/2013 15:58","Return_to_owner","","Dog","Neutered Male","2 years","Dachshund Mix","Brown"
"A706511","Pabst","7/8/2015 19:16","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair Mix","Tan/Black"
"A711276","","9/8/2015 16:55","Adoption","","Dog","Spayed Female","2 months","Chihuahua Shorthair Mix","Brown/White"
"A713043","Tinkerbelle","10/16/2015 17:11","Transfer","Partner","Dog","Intact Female","3 years","Chihuahua Longhair Mix","White/Black"
"A679632","","5/24/2014 14:06","Transfer","Partner","Dog","Intact Female","5 months","Labrador Retriever Mix","Black/White"
"A714959","Lola","11/3/2015 16:45","Adoption","","Dog","Spayed Female","4 months","Chihuahua Shorthair Mix","Tan"
"A709400","Cooper","8/13/2015 18:31","Adoption","","Dog","Neutered Male","2 years","Labrador Retriever Mix","Brown"
"A682169","Jinx","7/8/2014 17:21","Return_to_owner","","Dog","Neutered Male","8 years","Labrador Retriever Mix","Brown"
"A667892","Chai","11/25/2013 16:46","Return_to_owner","","Dog","Spayed Female","1 year","Cairn Terrier Mix","Tan"
"A699401","Banjo","3/27/2015 11:15","Return_to_owner","","Dog","Neutered Male","8 years","Basset Hound","Tricolor"
"A700607","","4/18/2015 17:21","Adoption","","Dog","Neutered Male","2 months","Black Mouth Cur Mix","Brown/White"
"A692964","","12/5/2014 18:29","Adoption","Foster","Dog","Spayed Female","1 month","Australian Cattle Dog Mix","White/Black"
"A680437","","6/13/2014 16:19","Transfer","Partner","Dog","Intact Male","1 year","Bichon Frise Mix","White"
"A680479","Magpie","6/22/2014 18:50","Adoption","","Dog","Spayed Female","1 year","Boxer Mix","Black/White"
"A664257","Pippin","10/24/2013 13:31","Adoption","Foster","Dog","Spayed Female","4 years","Podengo Pequeno Mix","Black"
"A719129","Wesson","1/18/2016 18:27","Adoption","","Dog","Neutered Male","1 year","Australian Shepherd Mix","Tricolor"
"A523114","Amy","4/26/2015 13:53","Return_to_owner","","Dog","Spayed Female","7 years","Golden Retriever Mix","Red"
"A664686","Rock","10/9/2013 13:46","Euthanasia","Suffering","Dog","Intact Male","2 years","Chihuahua Shorthair Mix","Black/Black"
"A688868","Tony","9/29/2014 16:51","Transfer","Partner","Dog","Neutered Male","3 months","Pit Bull Mix","Brown Brindle"
"A672383","Yayo","2/15/2014 11:43","Euthanasia","Aggressive","Dog","Intact Male","1 year","Pit Bull Mix","White/Blue Cream"
"A690421","Big Boy","10/29/2014 11:04","Return_to_owner","","Dog","Neutered Male","4 years","Beagle Mix","Tan/White"
"A697810","Sparrow","5/5/2015 19:05","Adoption","","Dog","Neutered Male","1 year","Australian Kelpie Mix","Red/White"
"A669980","Sarah","1/20/2014 23:38","Transfer","Partner","Dog","Spayed Female","8 years","Chihuahua Shorthair Mix","Red"
"A719483","Babs","1/23/2016 16:01","Transfer","Partner","Dog","Intact Female","1 month","Labrador Retriever Mix","Yellow"
"A666617","Sasha","7/1/2015 18:33","Return_to_owner","","Dog","Spayed Female","2 years","Pit Bull Mix","Chocolate/White"
"A721076","","2/20/2016 16:37","Euthanasia","Suffering","Dog","Intact Male","","Toy Poodle Mix","White"
"A706449","","6/29/2015 12:01","Transfer","Partner","Dog","Unknown","3 months","Border Collie Mix","White/Brown"
"A669545","Midnight","12/23/2013 18:37","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black"
"A681158","Baby Cow","6/17/2014 17:01","Adoption","","Dog","Spayed Female","4 years","Chihuahua Shorthair Mix","Tricolor"
"A712560","Cocoa","10/16/2015 16:57","Adoption","","Dog","Spayed Female","1 year","Pit Bull Mix","Brown"
"A668688","Carrie","12/12/2013 11:30","Transfer","Partner","Dog","Intact Female","11 months","Chihuahua Shorthair Mix","Fawn/White"
"A665883","Betty","10/28/2013 15:49","Transfer","Partner","Dog","Intact Female","1 year","Chihuahua Shorthair Mix","White/Tan"
"A696681","","2/10/2015 12:16","Transfer","Partner","Dog","Unknown","1 year","Chihuahua Shorthair Mix","Brown"
"A674151","Sookie","3/17/2014 17:19","Adoption","","Dog","Spayed Female","1 year","Miniature Pinscher Mix","Black/Tan"
"A661639","Achilles","7/8/2015 19:05","Return_to_owner","","Dog","Neutered Male","2 years","German Shepherd Mix","Brown"
"A687248","Tiki","9/3/2014 13:51","Transfer","Partner","Dog","Spayed Female","1 year","Miniature Schnauzer Mix","Gray"
"A693506","Maggie","12/10/2014 11:37","Return_to_owner","","Dog","Spayed Female","1 year","Pit Bull Mix","Blue/White"
"A714568","","10/29/2015 18:45","Adoption","","Dog","Neutered Male","2 years","Dachshund Wirehair Mix","Tricolor"
"A709946","Aleman","8/22/2015 19:18","Adoption","","Dog","Neutered Male","1 year","German Shepherd Mix","White/Black"
"A682728","Bear","7/19/2014 17:10","Adoption","","Dog","Neutered Male","1 year","Siberian Husky Mix","Red/White"
"A687675","Keegan","9/13/2014 14:54","Adoption","","Dog","Neutered Male","1 year","Australian Cattle Dog Mix","Brown/White"
"A689515","Judy","2/4/2016 16:58","Adoption","Foster","Dog","Spayed Female","3 years","Pit Bull Mix","Tan/White"
"A697891","Velvet","3/16/2015 17:38","Adoption","Foster","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Black"
"A681216","Darby","6/16/2014 19:22","Adoption","","Dog","Spayed Female","3 months","Labrador Retriever Mix","Brown Brindle/White"
"A671586","Chico","3/30/2014 12:03","Adoption","","Dog","Neutered Male","4 months","Dachshund","Brown"
"A695345","Lacey","5/4/2015 13:53","Euthanasia","Aggressive","Dog","Spayed Female","3 years","Dalmatian Mix","White/Black"
"A674587","Dash","4/18/2014 19:06","Adoption","","Dog","Intact Male","8 years","Chihuahua Shorthair Mix","Brown/Gray"
"A565188","Dora","10/21/2013 17:11","Return_to_owner","","Dog","Spayed Female","6 years","Pug","Black"
"A695286","Bones","1/17/2015 18:22","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black"
"A700663","Zeke","9/2/2015 14:59","Transfer","Partner","Dog","Neutered Male","2 years","Labrador Retriever Mix","Black/White"
"A700488","El Titi","4/16/2015 12:38","Return_to_owner","","Dog","Neutered Male","6 years","Chihuahua Shorthair Mix","Tan"
"A678414","Jesse","5/13/2014 16:58","Adoption","","Dog","Neutered Male","4 years","Miniature Poodle Mix","White"
"A688061","","9/18/2014 18:35","Adoption","","Dog","Spayed Female","2 months","German Shepherd","Black/Brown"
"A665325","","10/16/2013 16:20","Transfer","Partner","Dog","Intact Female","3 months","Pit Bull Mix","Black/White"
"A715954","","11/12/2015 15:10","Euthanasia","Suffering","Dog","Intact Male","1 year","Pit Bull Mix","Black"
"A719786","Lady","2/6/2016 17:32","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","Blue"
